Price,Bedrooms,Space,Room,Lot,Tax,Bathroom,Garage,Condition
705380,3,2490,5,4343,2,3,0,3
627000,4,1990,6,7712,1,4,0,3
865000,4,3690,7,9892,2,4,0,3
580000,2,2540,2,7000,1,2,0,5
410000,3,1800,6,36704,1,3,0,4
485000,4,2340,8,7048,1,4,0,4
400000,2,2110,9,9519,1,2,0,2
549000,2,1140,2,5400,1,2,0,5
620000,3,1480,4,2185,2.5,3,0,3
405000,2,1410,5,1240,2,2,0,3
232000,2,1200,3,8063,1,2,0,4
800866,5,3180,1,13806,2,5,0,4
650000,3,2160,3,9000,1,3,2,4
823000,6,2920,4,5000,2.5,6,0,4
770000,3,2350,2,5700,1.5,3,0,4
524000,3,1560,5,5520,1,3,0,4
541125,5,2740,2,8426,1,5,0,4
670000,3,1680,4,2000,3,3,0,3
384900,5,3090,5,12750,1,5,0,3
406100,3,1410,6,1332,3,3,0,3
1395000,5,4010,7,8510,2,5,1,5
736500,4,3180,2,21904,2,4,3,3
570000,3,2010,6,6000,1,3,0,3
787000,3,1330,8,7500,1,3,0,3
328000,4,2370,9,6500,2,4,0,3
435000,5,1840,2,9240,1,5,0,4
499000,4,2910,4,6479,2,4,0,3
501000,4,2070,5,7519,1,4,0,3
1090000,4,4340,3,141570,2.5,4,0,3
400000,2,840,1,5510,1,2,0,3
220000,4,1240,3,9600,1,4,0,3
657100,4,1390,4,4240,1,4,0,3
309950,4,2310,2,5000,2,4,0,3
300000,3,1050,5,10072,1,3,0,3
525888,5,2550,2,71874,1,5,0,5
740000,4,2010,4,3600,1.5,4,0,3
340000,5,1120,5,9022,1.5,5,0,4
398750,3,2230,6,4000,2,3,0,3
206000,2,810,7,7158,1,2,0,5
1030000,5,3190,2,16920,1,5,3,3
600000,3,1670,6,39639,1,3,0,4
379950,4,1970,8,9389,1,4,0,5
287000,3,1450,9,6000,1,3,0,4
2280000,7,13540,2,307752,3,7,4,3
309950,3,1880,4,7838,2,3,0,3
600000,3,1880,5,6360,1,3,0,4
418000,3,1410,3,6030,1.5,3,0,4
449250,4,1480,1,3844,1.5,4,0,5
329950,2,1140,3,5250,1.5,2,0,4
245000,3,1920,4,9306,1,3,0,3
549000,4,2910,2,6338,2,4,0,3
800000,3,3240,5,7857,2,3,0,3
249950,3,1550,2,15040,1,3,0,4
210000,5,2050,4,10200,1,5,0,3
1425000,2,2220,5,4000,2,2,0,3
585000,2,1770,6,8640,1.5,2,0,3
615000,4,2300,7,11700,1,4,0,4
618500,3,1800,2,5000,1,3,0,4
487585,4,2010,6,9211,1,4,0,3
509900,3,1790,8,2700,2,3,0,3
631625,4,2440,9,6651,2,4,0,3
555000,3,1940,2,3211,2,3,0,3
340000,2,1160,4,1438,2,2,0,3
830000,4,3400,5,9692,2,4,0,3
890000,4,4420,3,5750,2,4,0,3
366750,3,1571,1,2017,3,3,0,3
415000,3,1620,3,998,2.5,3,0,3
416286,3,1408,4,989,3,3,0,3
478000,3,3040,2,4535,2,3,0,3
890000,5,4490,5,6000,2,5,0,3
419190,2,1590,2,1426,2,2,0,3
712198,4,2450,4,4247,2,4,0,3
397000,4,1440,5,7680,1,4,0,3
450000,2,1100,6,3000,1.5,2,0,3
353000,3,1350,7,7740,1,3,0,4
609000,4,2150,2,37981,2,4,0,3
234000,3,1490,6,8366,1,3,0,4
561000,3,2000,8,7000,2,3,0,3
469000,2,1030,9,4400,1,2,0,3
329350,2,720,2,6687,1,2,0,3
488000,5,2020,4,5000,1.5,5,0,4
279900,3,1580,5,8151,1,3,1,4
606000,4,2110,3,13850,2,4,0,3
312000,4,1300,1,7054,1,4,0,3
650000,3,1630,3,7475,1,3,1,3
1135000,4,3370,4,8103,1,4,3,3
325000,4,1890,2,6156,1,4,0,3
425000,4,1520,5,7983,1,4,0,5
219000,2,900,2,5160,1,2,0,3
250000,3,1050,4,6874,1,3,0,3
390000,3,1260,5,6500,1,3,0,4
475000,6,3470,6,117612,1.5,6,0,3
736000,4,2290,7,12047,2,4,0,4
407000,4,2810,2,23400,1,4,1,3
272000,3,1650,6,13816,2,3,0,3
362000,3,1640,8,14374,1,3,0,4
535000,3,1850,9,10109,2,3,0,3
284000,4,2000,2,5390,2,4,0,3
367500,3,1410,4,9647,1,3,0,3
379900,4,1500,5,11600,1,4,0,4
520000,3,2460,3,54885,2,3,0,4
175000,3,1010,1,7034,1,3,0,3
460000,2,1230,3,929,2,2,0,3
345000,4,2331,4,3826,2,4,0,3
455000,5,2240,2,7770,1,5,0,3
610000,4,2450,5,10117,1,4,0,5
563000,4,3100,2,15480,2,4,0,3
612500,4,2060,4,5000,1,4,0,3
218000,3,1850,5,7684,1,3,0,3
404000,4,1840,6,10720,1,4,0,3
860000,4,3740,7,32417,2,4,0,3
136500,3,1420,2,8580,1,3,0,3
313950,3,1510,6,6083,1,3,0,4
575000,3,2130,8,6500,1,3,2,3
1225000,4,3490,9,6906,2,4,0,4
280000,3,1630,2,11800,1,3,0,4
515000,3,1790,4,7167,2,3,0,3
513000,4,2000,5,5684,2,4,0,3
599000,4,2260,3,29930,2,4,0,4
685000,4,3030,1,7864,2,4,0,3
365000,3,1310,3,8160,1,3,0,3
762300,4,3880,4,14550,2,4,0,3
1580000,4,3760,2,10920,1.5,4,0,5
562000,5,3040,5,8111,2,5,0,3
530000,5,2910,2,9636,1,5,0,4
525000,3,2970,4,11985,1,3,0,3
484000,2,1660,5,6000,1,2,0,3
725126,4,3200,6,12369,2,4,0,3
360000,4,2680,7,18768,1,4,0,5
387000,3,1230,2,9568,1,3,0,5
483500,4,2740,6,45732,2,4,0,3
655500,4,3380,8,8330,2,4,0,3
345000,3,1110,9,6250,1,3,0,3
533000,5,1800,2,3780,1.5,5,0,3
385000,3,1900,4,5520,1,3,0,3
675000,2,930,5,36478,1,2,2,3
197000,3,1690,3,7735,1,3,0,4
485000,3,1420,1,4080,1.5,3,0,3
1870000,5,4510,3,15175,2,5,0,3
295000,3,1980,4,8000,1,3,0,4
499000,2,1170,2,2400,1,2,0,4
1050000,3,2200,5,1970,2,3,0,3
191000,3,800,2,8850,1,3,0,4
500000,3,1480,4,1171,3,3,0,3
390000,5,2890,5,5000,1,5,0,3
979000,3,2690,6,4047,3,3,0,3
580000,4,3569,7,8327,2,4,0,3
369950,3,1270,2,1320,3,3,0,3
1800000,5,4490,6,10279,2,5,0,3
776000,4,3040,8,6425,2,4,0,3
519950,3,1170,9,1249,3,3,0,3
255000,5,2060,2,8632,1,5,0,3
495000,3,990,4,6000,1,3,0,3
510000,4,2430,5,5203,2,4,0,3
1150000,4,4460,3,103382,2,4,0,3
253000,3,1250,1,10122,1,3,0,3
503000,3,1540,3,6760,1,3,0,5
275000,3,1600,4,7000,2,3,0,4
249000,3,1110,2,8423,1,3,0,3
310000,3,1840,5,10723,1,3,0,4
750000,3,2520,2,5401,1,3,0,4
630000,3,2680,4,327135,2,3,0,3
599999,9,3830,5,6988,2.5,9,0,3
758000,4,2410,6,9549,1,4,0,4
248500,4,1720,7,10018,1,4,0,5
310000,3,2070,2,37904,1,3,0,4
460000,3,1760,6,9055,2,3,0,4
675000,3,1680,8,10500,1,3,0,4
526000,2,1550,9,2400,1.5,2,0,4
560000,3,4120,2,60392,2,3,2,3
415000,4,1830,4,9548,2,4,0,3
246000,3,1400,5,7410,1,3,0,3
314500,3,1870,3,12381,1,3,0,4
3200000,7,6210,1,8856,2.5,7,2,5
420000,2,1040,3,3500,1.5,2,0,4
535000,3,2720,4,149410,1.5,3,0,3
350000,3,1010,2,9360,1,3,0,3
515000,3,1580,5,9147,1,3,1,4
749950,4,2600,2,6050,2,4,0,5
230000,3,1920,4,9180,2,3,0,3
568000,3,2350,5,5080,1.5,3,0,3
250000,1,1100,6,4373,1,1,0,2
581000,4,2510,7,13695,1,4,0,4
651000,3,3240,2,108366,2,3,0,4
600000,3,2460,6,108900,1,3,0,4
500000,2,1010,8,3885,1.5,2,0,4
475000,2,820,9,2723,1,2,0,3
352000,5,2420,2,8560,1,5,2,3
420000,3,1770,4,8165,2,3,0,3
428000,2,1350,5,3900,1,2,0,3
599000,3,1960,3,4788,1,3,0,4
492000,4,3305,1,16164,1.5,4,0,5
630000,2,2550,3,5663,1,2,0,3
900000,5,4130,4,226076,2,5,0,3
1110000,4,2310,2,13300,1,4,0,3
575000,4,1650,5,5000,1,4,0,3
705000,4,2650,2,4316,1.5,4,0,3
940000,4,1890,4,5940,1,4,1,3
313000,3,2190,5,8000,1,3,0,4
618080,3,2030,6,6500,2,3,0,3
640000,3,2270,7,5175,2,3,0,3
485000,3,1610,2,4160,1,3,0,4
300000,2,760,6,3001,1,2,0,3
379500,2,1640,8,17335,1,2,0,3
339950,3,1630,9,12295,2,3,0,4
1500000,6,3560,2,6480,2.5,6,0,4
1340000,3,2960,4,5500,2,3,2,3
500000,3,1940,5,37565,1,3,0,4
239900,3,1410,3,7566,1,3,0,3
314950,3,1040,1,16986,1,3,0,4
361280,2,820,3,6400,1,2,0,4
100000,2,910,4,22000,1,2,0,3
540000,7,3700,2,7647,2,7,1,3
480500,4,2180,5,11200,1,4,0,4
280000,3,1600,2,4271,2,3,0,3
440000,3,1500,4,6180,1,3,0,4
530000,3,1340,5,4284,1,3,0,3
560000,3,1860,6,13374,1,3,0,3
775000,3,2540,7,7200,1.5,3,3,4
160000,2,1040,2,13100,1,2,0,5
209950,3,1380,6,11130,1,3,0,3
226500,3,1640,8,10762,1,3,0,3
380000,5,3000,9,6000,1,5,0,5
409500,4,2140,2,13000,1,4,0,3
690000,3,1760,4,6428,1,3,0,4
405000,3,1660,5,8307,1,3,0,4
375000,3,1830,3,13042,2,3,0,3
794154,4,2210,1,8556,1,4,1,4
185000,4,1490,3,6600,1,4,0,3
245000,3,1260,4,1270,2,3,0,3
1532500,5,4270,2,8076,2,5,0,3
1040000,4,3900,5,8391,2,4,0,3
425000,2,1150,2,1027,3,2,0,3
495000,4,2656,4,21195,2,4,0,3
365000,5,2410,5,5003,1,5,0,3
417250,3,1606,6,1452,3,3,0,3
339950,2,820,7,681,3,2,0,3
615000,2,1540,2,6872,1,2,0,4
403000,3,2090,6,8354,2,3,0,3
980000,5,3160,8,11470,1,5,0,4
258000,4,1730,9,8320,1,4,0,3
533000,3,1670,2,4080,1,3,0,3
537500,4,2550,4,4630,2,4,0,3
830000,5,3040,5,9601,1,5,0,5
712000,3,1250,3,4620,1.5,3,0,4
262000,4,2020,1,6236,2,4,0,3
753888,4,2660,3,5500,2,4,2,3
134000,2,980,4,5000,2,2,0,3
402000,3,1960,2,8000,1,3,0,4
205000,2,720,5,5040,1,2,0,3
553650,2,1360,2,1349,2,2,0,3
559950,2,1870,4,4950,1,2,0,3
260000,4,2130,5,8800,1,4,0,3
270000,4,1810,6,6509,2,4,0,3
295000,2,2200,7,89298,1,2,0,3
719000,3,1690,2,4500,1.5,3,1,4
266000,3,1940,6,8547,1,3,0,3
325900,4,2320,8,6270,2,4,0,3
647500,4,2060,9,26036,1,4,0,4
1039000,4,3410,2,5000,2,4,0,5
569000,4,2250,4,41688,2,4,0,3
246000,3,1390,5,7399,1,3,0,4
515000,2,1060,3,4960,1,2,0,3
207000,3,1490,1,8995,1,3,0,4
780000,4,2480,3,9195,1,4,0,3
489990,5,2440,4,20828,1.5,5,0,4
335000,3,2240,2,87625,1.5,3,0,2
295000,3,1920,5,7229,2,3,0,3
385000,3,1890,2,9920,1,3,0,3
350000,4,2250,4,13515,1,4,0,4
235000,2,1270,5,3008,1,2,0,4
358000,2,960,6,1808,2,2,0,3
716500,4,3290,7,6465,2,4,0,3
228000,4,2000,2,6120,1,4,0,3
405000,2,1020,6,8155,1,2,0,4
538000,4,1840,8,9600,1,4,0,3
530000,3,1980,9,6760,1,3,0,4
1750000,6,3510,2,5760,2.5,6,0,4
636000,2,1230,4,3600,1.5,2,0,5
535000,4,2280,5,65836,2,4,0,3
1500000,3,2430,3,12757,1,3,2,4
868500,3,2920,1,3942,3,3,0,3
530000,4,2280,3,2850,1.5,4,0,4
450000,3,1510,4,43560,1,3,0,3
230000,3,950,2,6000,1,3,0,3
229000,3,1190,5,3000,2,3,0,3
437000,3,1310,2,9282,1,3,0,4
1307000,5,2800,4,3200,1.5,5,0,5
595000,3,1750,5,3354,2,3,0,4
660000,3,1320,6,5750,1.5,3,0,5
347500,4,2460,7,7350,2,4,0,3
297950,3,1240,2,10800,1,3,0,3
245000,3,1260,6,7964,1,3,0,4
543200,6,2820,8,15600,1.5,6,2,5
1250000,4,3820,9,24166,2,4,1,4
413450,3,1540,2,1614,3,3,0,3
330000,2,1550,4,435600,1.5,2,0,2
424500,3,1460,5,7700,1,3,0,3
230000,3,1390,3,16000,1,3,0,4
930000,3,2640,1,4080,2,3,0,3
349000,3,1590,3,9620,1,3,0,3
835000,4,1910,4,6960,1.5,4,0,5
988500,3,2015,2,16807,2,3,4,3
500000,3,1410,5,1197,3,3,0,3
499000,2,1110,2,957,2,2,0,3
321950,2,860,4,1277,2,2,0,3
494000,3,2310,5,4729,2,3,0,3
441750,2,1020,6,1060,3,2,0,3
438000,2,980,7,1179,2,2,0,3
985000,4,4230,2,37769,2,4,0,3
352000,3,1640,6,11050,1,3,0,4
839900,4,3810,8,13592,1,4,1,3
765000,4,2790,9,10819,2,4,0,3
460000,4,1750,2,5500,1.5,4,0,5
224500,4,1430,4,8355,1.5,4,0,4
254000,3,1850,5,4597,2,3,0,3
255000,2,960,3,28717,1,2,0,4
610000,3,2480,1,45302,1,3,0,4
920000,4,3750,3,11025,2,4,0,3
402500,4,2600,4,11951,2,4,0,3
280950,3,1390,2,8700,1,3,3,4
604000,4,2260,5,7753,2,4,0,3
565000,4,2470,2,7447,2,4,0,3
255000,2,810,4,7980,1,2,0,1
445000,4,1650,5,6000,1,4,0,5
2400000,3,3000,6,11665,1.5,3,4,3
195000,2,720,7,18000,1,2,0,3
275000,3,1390,2,48257,1,3,0,3
387000,3,1445,6,1606,2,3,0,3
490000,2,1840,8,3300,1.5,2,0,4
505000,3,2100,9,5824,2,3,2,3
303500,3,1060,2,10464,1,3,0,4
270000,3,1500,4,6337,1,3,0,5
323000,4,1970,5,7213,1,4,0,3
382000,3,1410,3,1253,3,3,0,3
1370000,4,3720,1,9450,1,4,4,5
280000,4,2190,3,14439,1,4,0,4
260000,3,1920,4,8075,1,3,0,4
201500,3,1160,2,8320,1,3,0,4
1157200,4,5860,5,52889,2,4,0,4
536500,4,2000,2,4000,1.5,4,0,5
248000,4,2163,4,5883,2,4,0,3
532000,5,3480,5,57499,1,5,0,4
580000,4,2840,6,6268,2,4,0,3
463000,2,1150,7,4400,1,2,0,4
742500,4,3100,2,3773,2,4,0,3
260000,3,1420,6,14850,1,3,0,4
590000,4,2430,8,32496,1,4,0,3
312000,4,1930,9,7452,1,4,0,3
566000,3,1660,2,10140,1,3,0,4
511555,3,1400,4,7293,1,3,0,4
583000,4,2660,5,4000,2,4,0,3
290000,4,2000,3,13300,1,4,0,4
311100,4,2130,1,8078,1,4,0,4
325000,3,1352,3,1694,3,3,0,3
491300,3,1750,4,11340,1,3,1,4
315000,5,2320,2,8100,1,5,0,4
360000,2,1420,5,81892,1,2,0,3
330000,4,1940,2,3784,2,4,0,3
481450,3,1410,4,4800,1,3,0,3
234950,3,1360,5,9948,1,3,0,3
251000,3,1220,6,7250,1,3,0,3
782000,4,2830,7,20345,2,4,0,3
833000,4,3780,2,10308,2,4,0,3
542500,4,2330,6,14289,2,4,0,4
851000,3,3560,8,107290,2,3,0,3
325000,4,1470,9,70800,1,4,0,3
415000,4,3060,2,48787,2,4,0,3
252500,3,1030,4,6127,1,3,0,3
465000,4,1930,5,9653,1,4,0,4
336900,3,1780,3,120661,1,3,0,4
225000,3,2000,1,9202,2,3,0,4
270000,3,1690,3,9583,1,3,0,4
1702500,5,5190,4,23716,2,5,2,3
536000,3,1300,2,5413,1.5,3,0,3
585000,4,2400,5,29252,2,4,0,4
445000,2,1150,2,6634,1,2,0,3
320000,4,2310,4,7490,2,4,0,3
769900,4,2730,5,3047,2,4,0,3
557000,4,2840,6,4500,2,4,0,3
212000,2,1020,7,1525,2,2,0,3
376000,3,1340,2,1384,3,3,0,3
800000,4,3540,6,159430,2,4,0,3
2238888,5,7270,8,130017,2,5,0,3
324000,3,998,9,904,2,3,0,3
549900,5,3060,2,7015,1,5,0,5
320000,3,2130,4,6969,2,3,0,3
875000,4,2520,5,6000,1,4,0,3
265000,4,1940,3,9533,1,4,0,3
394950,3,1350,1,1250,3,3,0,3
842500,4,2160,3,5298,2.5,4,0,4
368000,3,1370,4,1350,2,3,0,3
1225000,4,5420,2,101930,1,4,0,3
885000,4,2830,5,5000,2,4,0,3
453246,3,2010,2,2287,2,3,0,3
927000,4,3300,4,12090,2,4,0,3
490000,2,1230,5,1391,2,2,0,3
341000,3,1720,6,7119,1.5,3,0,4
235000,1,810,7,2451,1,1,0,5
1200000,3,1560,2,8078,1.5,3,4,4
560000,3,2560,6,216777,1,3,0,3
900000,4,4700,8,38412,2,4,0,3
255000,2,1220,9,2500,1,2,0,3
1575000,5,3650,2,20150,1,5,0,4
876650,3,2170,4,12508,1.5,3,0,5
540000,4,2540,5,228254,1,4,0,3
350000,2,910,3,4500,1.5,2,0,4
750000,4,2980,1,4930,2,4,0,3
582000,4,2120,3,4650,1,4,1,3
1315000,4,3460,4,3997,2,4,0,3
372500,5,2480,2,10090,1,5,0,3
410000,3,2200,5,16921,2,3,0,3
360000,4,1730,2,5500,1,4,0,5
1015000,3,2920,4,34527,1,3,4,4
225000,3,990,5,8012,1,3,0,4
647000,4,3040,6,6887,2,4,0,3
950000,5,4530,7,258746,1.5,5,0,4
185000,3,1370,2,8470,1,3,0,4
335000,3,1940,6,4927,2,3,0,3
210000,3,1040,8,2643,2,3,0,3
522000,4,1800,9,8623,1,4,0,4
770000,3,1720,2,5000,1,3,0,3
499950,3,980,4,6380,1,3,0,3
751000,4,3110,5,6142,2,4,0,3
330000,5,2100,3,7715,1,5,0,3
465000,3,2020,1,11358,1,3,0,4
850000,4,2350,3,11914,1,4,0,4
947500,4,3290,4,12329,1.5,4,0,4
302000,5,2180,2,7813,2,5,0,3
500000,2,1290,5,1334,3,2,0,3
201000,3,1460,2,9750,1,3,0,4
265000,2,1290,4,2828,2,2,0,3
870300,4,2350,5,3150,1.5,4,0,4
339000,3,1080,6,8100,1,3,0,4
690000,4,2670,7,13463,2,4,0,4
788000,4,3680,2,5759,2,4,0,3
315275,3,1440,6,8040,1,3,0,3
505000,4,1940,8,4800,1,4,0,5
368000,3,1280,9,9898,1,3,0,3
947500,3,2980,2,27144,1.5,3,2,5
156000,3,970,4,8580,1,3,0,3
610000,4,2110,5,5000,1.5,4,2,4
420000,2,1480,3,1369,3,2,0,3
192000,2,700,1,10540,1,2,0,3
910000,3,2700,3,6120,1,3,0,4
1300000,4,2330,4,9687,2,4,3,3
1346400,5,3380,2,20021,1,5,0,4
840000,4,2600,5,2750,1.5,4,0,3
300000,2,1360,2,8100,1,2,0,3
505000,4,2780,4,6369,1,4,0,3
110000,3,1250,5,53143,1,3,0,5
746000,3,2620,6,8950,2,3,0,3
211000,3,1350,7,7620,1,3,0,5
675000,4,2400,2,3340,1,4,0,4
734200,4,2760,6,5000,1.5,4,0,5
1225000,4,3070,8,16028,1,4,3,3
615000,2,2040,9,28593,1.5,2,3,4
630000,4,1770,2,6000,2,4,0,5
1264000,4,3490,4,9170,2,4,0,3
301500,2,830,5,1333,2,2,0,3
369000,2,980,3,895,2,2,0,3
635000,3,1570,1,1433,3,3,0,3
1033888,4,3270,3,5187,2,4,0,3
383000,4,2160,4,6223,2,4,0,3
1050000,4,3280,2,11000,2,4,0,3
455000,4,3360,5,7685,2,4,0,3
819900,5,3150,2,7119,2,5,0,3
625000,3,1810,4,1846,2,3,0,4
651000,4,2740,5,7140,2,4,0,3
480000,5,3830,6,35000,1,5,0,3
757000,3,3190,7,5283,2,3,0,3
460000,3,2350,2,10450,1,3,0,3
267345,4,2510,6,8165,1,4,0,4
530000,2,1680,8,4950,1,2,0,3
449500,3,1770,9,6610,1,3,0,4
289000,3,1090,2,7315,1,3,0,5
373000,5,3001,4,5710,2,5,0,3
525000,5,2450,5,4591,2,5,0,3
777000,3,3610,3,59677,2,3,0,3
550000,4,2250,1,7500,1,4,0,5
523000,3,1240,3,7735,1,3,0,4
628000,4,2260,4,6000,1,4,0,3
581000,4,2090,2,8164,1,4,0,4
245000,5,2020,5,7902,1,5,0,3
415000,3,1960,2,5000,1,3,0,5
1895000,5,3120,4,16672,2,5,0,4
225000,3,1250,5,7500,1,3,0,3
287000,3,1490,6,9600,1,3,0,4
799200,6,2890,7,2370,2.5,6,0,3
239950,3,1900,2,33888,1.5,3,0,4
591000,3,1680,6,2400,1,3,0,5
700000,3,2030,8,8398,2,3,0,4
475000,4,3740,9,8700,1,4,0,3
575000,3,1580,2,11750,1,3,0,4
771000,3,1780,4,6120,1.5,3,0,4
155000,2,910,5,6232,1,2,0,3
550000,7,3440,3,8100,2,7,0,3
645000,3,1740,1,13750,2,3,0,4
464000,5,3400,3,8970,1,5,0,4
1050000,4,4400,4,16625,2,4,0,3
350000,3,2010,2,14298,2,3,0,3
591000,4,2710,5,38180,2,4,0,4
2555000,4,5300,2,26211,2,4,2,2
717000,3,1310,4,3880,1,3,0,3
225000,4,1950,5,12559,1.5,4,0,3
225000,3,1040,6,6535,1,3,0,3
345000,3,1090,7,7200,1,3,0,3
230000,2,650,2,5360,1,2,0,4
385000,3,1480,6,6600,1,3,2,3
90000,2,790,8,2640,1,2,0,3
860000,4,3560,9,11119,1,4,2,3
675000,4,3000,2,5548,2,4,0,3
975000,4,3490,4,7494,2,4,3,3
780000,3,2340,5,10495,1,3,0,4
370000,3,1650,3,8254,1,3,0,5
665000,3,1940,1,5820,1.5,3,0,5
675000,5,3410,3,9600,1,5,0,4
620000,3,1710,4,4050,1.5,3,0,3
1105000,4,2740,2,4000,2,4,0,5
450000,3,1250,5,892,2,3,0,3
450000,3,2450,2,42180,1,3,0,4
530000,3,1690,4,8190,1,3,0,4
635000,4,1950,5,13320,1,4,0,4
580000,5,2290,6,7125,1,5,0,3
1550000,5,3370,7,17458,1,5,2,5
285000,3,1090,2,8640,1,3,0,4
375000,3,1190,6,9486,1,3,0,4
1400000,5,3530,8,7924,2,5,0,3
560000,3,1440,9,5000,2,3,0,3
405000,4,2180,2,13529,1,4,0,3
413000,4,1410,4,6000,1,4,0,3
287600,3,1950,5,8251,2,3,0,3
1680000,5,4860,3,23723,2,5,2,4
225000,3,1660,1,7210,1,3,0,3
319000,3,1390,3,12823,1,3,0,4
322500,3,1350,4,14200,1,3,0,3
570000,3,1530,2,5401,1,3,0,4
465000,3,1270,5,5112,1,3,0,3
435000,4,2140,2,6355,2,4,0,3
502000,4,2040,4,5616,2,4,0,3
525000,3,2876,5,5086,2,3,0,3
525000,3,1580,6,1161,2,3,0,3
660000,4,3400,7,5196,2,4,0,3
870000,4,3520,2,6773,2.5,4,0,3
650000,4,2210,6,4861,2,4,0,3
505000,4,2790,8,5602,2,4,0,3
330000,3,1450,9,5008,1,3,0,3
385000,4,1620,2,4980,1,4,0,4
306000,3,1220,4,1086,3,3,0,3
546000,3,2000,5,5000,1,3,0,4
925000,4,2190,3,7350,2.5,4,0,5
542000,4,1900,1,8250,1,4,0,4
800000,3,1700,3,4400,1.5,3,0,4
620000,5,2540,4,3832,2,5,0,5
175000,2,1170,2,8925,1,2,2,3
740000,5,5774,5,31675,1,5,2,3
345000,3,2120,2,15003,2,3,0,3
510000,3,2170,4,26460,1,3,0,3
530000,4,2450,5,15002,1,4,0,5
155000,2,700,6,5200,1,2,0,5
266000,3,1780,7,7214,1,3,0,4
257200,3,1850,2,8250,1,3,0,4
265000,3,1570,6,5706,1,3,0,3
372220,3,1290,8,5500,1,3,0,3
337500,5,1700,9,7314,1,5,0,3
582500,2,1159,2,4800,1,2,0,3
489200,3,1850,4,9600,1.5,3,0,5
405100,2,840,5,3522,1,2,0,3
372977,3,1690,3,1618,2,3,0,3
310000,3,1050,1,9876,1,3,0,3
538000,3,1400,3,3825,1.5,3,0,4
1400000,3,2550,4,7200,2,3,2,3
317000,3,1840,2,5011,2,3,0,3
702500,3,2360,5,6750,2,3,0,5
565000,4,2240,2,14667,2,4,0,4
723000,4,2700,4,4004,2,4,0,3
